adm_cd,district,dong,area_km2,green_ratio_pct,impervious_ratio_pct,elderly_ratio_pct_district,cooling_shelter_total,cooling_shelter_operating,cooling_shelter_anyone,cooling_shelter_capacity,cooling_shelter_density_per_10km2,cooling_shelter_accessible_ratio_pct,shade_shelter_count_district,shade_shelter_density_per_10km2_district,summer_mobility_weekly_avg_district,summer_mobility_per_resident_district,uv_published_at,uv_h3,uv_h6,uv_h24,component_impervious_risk,component_green_deficit,component_elderly_sensitivity,component_cooling_shelter_density_deficit,component_cooling_shelter_access_deficit,component_shade_shelter_density_deficit,normalized_component_count,normalized_score_sum,normalized_score_mean,score_component_coverage,score,risk_level,core_data_complete
22030610,서구,평리2동,0.2908,4.1254,92.7218,25.83,6,6,2,435.0,206.3435,33.33,66,37.8824,507171.08,3.0855,2026072806,5.0,8.0,2.0,0.9399,0.963,0.3353,0.1502,0.6667,0.7285,6,3.7836,0.6306,1.0,63.06,high,True
22030620,서구,평리3동,0.7846,7.3444,90.7444,25.83,6,6,3,431.0,76.4749,50.0,66,37.8824,507171.08,3.0855,2026072806,5.0,8.0,2.0,0.9195,0.9267,0.3353,0.6863,0.5,0.7285,6,4.0963,0.6827,1.0,68.27,critical,True
22030630,서구,평리4동,0.7366,3.4791,93.9386,25.83,9,9,3,305.0,122.189,33.33,66,37.8824,507171.08,3.0855,2026072806,5.0,8.0,2.0,0.9525,0.9703,0.3353,0.4976,0.6667,0.7285,6,4.1509,0.6918,1.0,69.18,critical,True
22030640,서구,평리5동,0.4191,13.0618,71.0507,25.83,4,4,3,383.0,95.4454,75.0,66,37.8824,507171.08,3.0855,2026072806,5.0,8.0,2.0,0.7161,0.8621,0.3353,0.608,0.25,0.7285,6,3.5,0.5833,1.0,58.33,moderate,True
22030650,서구,평리6동,0.7153,8.3953,88.9334,25.83,1,1,1,64.0,13.9798,100.0,66,37.8824,507171.08,3.0855,2026072806,5.0,8.0,2.0,0.9008,0.9148,0.3353,0.9442,0.0,0.7285,6,3.8236,0.6373,1.0,63.73,high,True
22030660,서구,상중이동,6.751,33.278,62.3562,25.83,6,6,4,649.0,8.8876,66.67,66,37.8824,507171.08,3.0855,2026072806,5.0,8.0,2.0,0.6263,0.6337,0.3353,0.9653,0.3333,0.7285,6,3.6224,0.6037,1.0,60.37,moderate,True
22030680,서구,원대동,0.6055,5.9762,91.6399,25.83,4,4,4,140.0,66.0646,100.0,66,37.8824,507171.08,3.0855,2026072806,5.0,8.0,2.0,0.9287,0.9421,0.3353,0.7292,0.0,0.7285,6,3.6638,0.6106,1.0,61.06,high,True
22040510,남구,이천동,1.0827,27.1719,62.844,25.89,5,4,3,126.0,36.9438,75.0,48,26.939,398483.19,2.8385,2026072806,5.0,8.0,2.0,0.6314,0.7027,0.3372,0.8494,0.25,0.8145,6,3.5852,0.5975,1.0,59.75,moderate,True
22040530,남구,봉덕1동,0.5266,2.4728,97.0485,25.89,7,7,5,188.0,132.9402,71.43,48,26.939,398483.19,2.8385,2026072806,5.0,8.0,2.0,0.9846,0.9817,0.3372,0.4532,0.2857,0.8145,6,3.8569,0.6428,1.0,64.28,high,True
22040540,남구,봉덕2동,3.2585,74.823,22.1981,25.89,3,2,2,122.0,6.1378,100.0,48,26.939,398483.19,2.8385,2026072806,5.0,8.0,2.0,0.2117,0.1643,0.3372,0.9766,0.0,0.8145,6,2.5043,0.4174,1.0,41.74,low,True
22040550,남구,봉덕3동,2.6606,65.4191,32.2269,25.89,3,3,1,102.0,11.2757,33.33,48,26.939,398483.19,2.8385,2026072806,5.0,8.0,2.0,0.3152,0.2706,0.3372,0.9554,0.6667,0.8145,6,3.3596,0.5599,1.0,55.99,moderate,True
